Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series,State,District,Date of Challenge/Removal,Ban Status,description,themes,cover_url,publish_year,isbn,work_id,openlibrary_url,work_url
Nineteen Minutes,"Picoult, Jodi",,,,,Arizona,Higley Unified School District,August 2024,Banned by Restriction,"The startling and poignant story of the aftermath of a tragic high school shooting, from the bestselling author of My Sister's Keeper and The Pact.'Picoult makes us ponder the ambiguous relationships between love and lying, legality and morality; the strange ways repressed memories leak into the present.' Los Angeles TimesIntricately textured and rich with psychological and social insight, Jodi Picoult's novels grab readers by the throat from page one and never let go. As emotionally charged as ...",Coming of Age,https://covers.openlibrary.org/b/id/479431-M.jpg,2006,,OL891945W,https://openlibrary.org/works/OL891945W,https://openlibrary.org/works/OL891945W
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Arizona,Higley Unified School District,August 2024,Banned by Restriction,"The Perks of Being a Wallflower is a young adult coming-of-age epistolary novel by American writer Stephen Chbosky, which was first published on February 1, 1999, by Pocket Books. Set in the early 1990s, the novel follows Charlie, an introverted observing teenager, through his freshman year of high school in a Pittsburgh suburb. The novel details Charlie's unconventional style of thinking as he navigates between the worlds of adolescence and adulthood, and attempts to deal with poignant question...",Coming of Age,https://covers.openlibrary.org/b/id/14315052-M.jpg,1999,,OL875437W,https://openlibrary.org/works/OL875437W,https://openlibrary.org/works/OL875437W
#Pride: Championing LGBTQ Rights,"Felix, Rebecca",,,,#movements,Colorado,Elizabeth School District,August 2024,Banned,No description available,,,,,,,
Beloved,"Morrison, Toni",,,,,Colorado,Elizabeth School District,August 2024,Banned,"Toni Morrison--author of Song of Solomon and Tar Baby--is a writer of remarkable powers: her novels, brilliantly acclaimed for their passion, their dazzling language and their lyric and emotional force, combine the unassailable truths of experience and emotion with the vision of legend and imagination. It is the story--set in post-Civil War Ohio--of Sethe, an escaped slave who has risked death in order to wrench herself from a living death; who has lost a husband and buried a child; who has born...",Violence,https://covers.openlibrary.org/b/id/8261367-M.jpg,1987,,OL50548W,https://openlibrary.org/works/OL50548W,https://openlibrary.org/works/OL50548W
Burned (EH),"Hopkins, Ellen",,,,Burned,Colorado,Elizabeth School District,August 2024,Banned,No description available,,,,,,,
Crank,"Hopkins, Ellen",,,,Crank,Colorado,Elizabeth School District,August 2024,Banned,"Kristina is the perfect daughter: gifted high school junior, quiet, never any trouble. Then she meets the monster: crank. And what begins as a wild ride turns into a struggle for her mind, her soul---her life.",Coming of Age,https://covers.openlibrary.org/b/id/12366759-M.jpg,2001,,OL5969752W,https://openlibrary.org/works/OL5969752W,https://openlibrary.org/works/OL5969752W
Fallout,"Hopkins, Ellen",,,,Crank,Colorado,Elizabeth School District,August 2024,Banned,"Hunter, Autumn, and Summer—three of Kristina Snow’s five children—live in different homes, with different guardians and different last names. They share only a predisposition for addiction and a host of troubled feelings toward the mother who barely knows them, a mother who has been riding with the monster, crank, for twenty years. 

Told in three voices and punctuated by news articles chronicling the family’s story, FALLOUT is the stunning conclusion to the trilogy begun by CRANK and GLASS, a...","Violence, Family Issues, Substance Abuse",https://covers.openlibrary.org/b/id/6598100-M.jpg,2010,,OL15110282W,https://openlibrary.org/works/OL15110282W,https://openlibrary.org/works/OL15110282W
Glass,"Hopkins, Ellen",,,,Crank,Colorado,Elizabeth School District,August 2024,Banned,"*Through the Looking-Glass, and What Alice Found There* (1871) is a work of children's literature by Lewis Carroll (Charles Lutwidge Dodgson), generally categorized in the fairy tale genre. It is the sequel to *Alice's Adventures in Wonderland* (1865). Although it makes no reference to the events in the earlier book, the themes and settings of *Through the Looking-Glass* make it a kind of mirror image of Wonderland: the first book begins outdoors, in the warm month of May, uses frequent changes ...",Violence,https://covers.openlibrary.org/b/id/11272464-M.jpg,1865,,OL151406W,https://openlibrary.org/works/OL151406W,https://openlibrary.org/works/OL151406W
Identical,"Hopkins, Ellen",,,,,Colorado,Elizabeth School District,August 2024,Banned,"Jason Bourne, a deep cover secret agent, found on sea-shore with a head wound. He has no memories of the past. The doctor, who treated him in small island, found a bank numbered account implanted in his body.

This numbered account lead him to Switzerland, and unfolding his true identity. It is a GREAT spy thriller, a book of Trio.",,https://covers.openlibrary.org/b/id/499340-M.jpg,1980,,OL2664916W,https://openlibrary.org/works/OL2664916W,https://openlibrary.org/works/OL2664916W
"It's Your World - If You Don't Like It, Change It: Activism for Teenagers","Halpin, Mikki",,,,,Colorado,Elizabeth School District,August 2024,Banned,No description available,,,,,,,
Looking for Alaska,"Green, John",,,,,Colorado,Elizabeth School District,August 2024,Banned,"Before. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating ...",Sexual Content,https://covers.openlibrary.org/b/id/12614602-M.jpg,2005,,OL265426W,https://openlibrary.org/works/OL265426W,https://openlibrary.org/works/OL265426W
Melissa (George),"Gino, Alex",,,,,Colorado,Elizabeth School District,August 2024,Banned,No description available,,,2013,,OL40112710W,https://openlibrary.org/works/OL40112710W,https://openlibrary.org/works/OL40112710W
